trading_name,ticker
PetroCH 5xShortSG250320,Y1CW.SI
Sarine Tech,U77.SI
Nasdaq 7xShortSG260401,CZNW.SI
Baidu 5xShortSG250515,KGIW.SI
TSH Resources,TSH.SI
EliteUKREIT GBP,MXNU.SI
AsiaPhos,5WV.SI
SingIndexFund,S45U.SI
Uni-Asia Grp,CHJ.SI
Lion-OSPL Low Carbon S$,ESG.SI
Sinarmas Land,A26.SI
JEP,1J4.SI
Versalink,40N.SI
UnionSteel,ZB9.SI
AP Oil,5AU.SI
Natural Cool,5IF.SI
Union Gas,1F2.SI
CGS FG CSI1000 S$,GRO.SI
SembInd MBeCW241002,SNJW.SI
S&P 7xShortSG260324,HQCW.SI
Vallianz,WPC.SI
Duty Free Intl,5SO.SI
FSL Trust,D8DU.SI
YZJ 5xLongSG241218,DLZW.SI
Willas-Array,BDR.SI
Lippo Malls Tr,D5IU.SI
Global Testing,AYN.SI
HSCEI 7xLongSG251218,W9KW.SI
HSTECH 5xLongSG261029,CWUW.SI
MTQ,M05.SI
Xiaomi 5xLongUB250228,5O9W.SI
CP ALL TH SDR,TCPD.SI
AIRPORTS OF TH TH SDR,TATD.SI
Fu Yu,F13.SI
Asian Micro,585.SI
PHIL SING INC,OVQ.SI
Sands 5xLongUB250930,HKCW.SI
AIA 5xShortSG250327,DIMW.SI
FJ Benjamin,F10.SI
CapInv 5xLongSG260716,DPNW.SI
Sands 5xShortUB250127,MCZW.SI
New Toyo,N08.SI
VCPlus,43E.SI
Low Keng Huat,F1E.SI
Micro-Mechanics,5DD.SI
Prudential USD,K6S.SI
DBS 5xLongSG251023,QARW.SI
MindChamps,CNE.SI
HSTECH3xLongMA260327US$,TTTW.SI
HGH,5GZ.SI
HSTECH 7xShortSG260605,9ZYW.SI
Eindec,42Z.SI
Hatten Land,PH0.SI
Tencent 5xLongUB250430,YT4W.SI
BACUI TECH,YYB.SI
SHS,566.SI
Sembcorp 5xShortSG241218,DQKW.SI
RafflesEd 6%cb270923,W5UB.SI
Progen,583.SI
GP Industries,G20.SI
Vibrant Group,BIP.SI
Tat Seng Pkg,T12.SI
ASL M W240723^,WG2W.SI
G Invacom^,QS9.SI
HSTECH 5xLongSG241218,CYMW.SI
HSI 22200MBeCW240829,YMCW.SI
DBS 5xShortSG250226,DEOW.SI
Jubilee,NHD.SI
Sunny MB ePW241104,SDFW.SI
Nam Lee Metal,G0I.SI
Ellipsiz,BIX.SI
Koda,BJZ.SI
Sunright,S71.SI
HSI 7xShortUB241231,HOHW.SI
LifeBrandz,1D3.SI
Koh Bros,K75.SI
Y Ventures,1F1.SI
CMOB 5xShortUB250228,QAIW.SI
MoneyMax Fin,5WJ.SI
HSCEI 7xShortSG240912,CXJW.SI
Alibab3xLongUB250428US$,KHWW.SI
OUE Healthcare,5WA.SI
Pacific Century,P15.SI
AnAn Intl,Y35.SI
Baidu 5xLongSG241126,DETW.SI
Stamford Land,H07.SI
A-Sonic Aero,BTJ.SI
Eneco Energy^,R14.SI
PHILLIP MM S$,MMS.SI
Indofood Agri,5JS.SI
Overseas Edu,RQ1.SI
S&P 5xLongSG250228A,CYAW.SI
Tencent 5xLongUB251128,MNSW.SI
Sanli Env,1E3.SI
Xiaomi 5xLongSG241126,DUTW.SI
LHT,BEI.SI
HG Metal,BTG.SI
Bund Center,BTE.SI
